parties,votes
1. PVV (Partij voor de Vrijheid),7451
2. GROENLINKS / Partij van de Arbeid (PvdA),25110
3. VVD,8346
4. Nieuw Sociaal Contract (NSC),331
5. D66,16049
6. BBB,1193
7. CDA,8916
8. SP (Socialistische Partij),1517
9. DENK,308
10. Partij voor de Dieren,3334
11. Forum voor Democratie,3076
12. Staatkundig Gereformeerde Partij (SGP),643
13. ChristenUnie,1134
14. Volt,3635
15. JA21,3921
16. Vrede voor Dieren,149
17. Belang Van Nederland (BVNL),184
18. BIJ1,378
19. LP (Libertaire Partij),106
20. 50PLUS,470
21. Piratenpartij,98
22. FNP,50
23. Vrij Verbond,12
24. DE LINIE,10
25. NL PLAN,5
26. ELLECT,2
Blanco,59
